component_id,component_type,error_name,created
LR00002265,lift,conveyor_not_success_to_pull_the_tote_while_loading,1682837353.070803
GR003267,ground,missing_sticker,1682837601.701316
LR00002265,lift,lift_not_responding,1682838761.558092
LR00002093,lift,auto_reset_agent,1682838787.474526
LR00002114,lift,auto_reset_agent,1682838790.221121
LR00002221,lift,auto_reset_agent,1682838791.966035
LR00002087,lift,auto_reset_agent,1682838793.264403
LR00002265,lift,auto_reset_agent,1682839033.578731
LR00002265,lift,auto_reset_agent,1682839059.402601
GR003165,ground,turn_timeout,1682839248.810129
GR003165,ground,auto_reset_agent,1682839248.968956
GR003227,ground,periodic_goto_timeout,1682839830.460512
GR003227,ground,auto_reset_agent,1682839830.487433
LR00002093,lift,auto_reset_agent,1682841300.984179
GR003165,ground,turn_timeout,1682843610.481999
GR003165,ground,auto_reset_agent,1682843611.554065
GR003246,ground,goto_finished_off_sticker,1682845946.439197
GR003246,ground,corners_cv_started,1682845946.4498
GR003246,ground,corners_cv_succeeded,1682845947.289319
GR003246,ground,corners_cv_irrelevant,1682845947.327996
GR003212,ground,missing_sticker,1682846176.508121
GR003294,ground,ground_not_responding,1682846812.458685
GR003294,ground,periodic_goto_timeout,1682846817.693312
GR003294,ground,auto_reset_agent,1682846817.905609
GR003295,ground,missing_sticker,1682846859.252685
GR003297,ground,goto_finished_off_sticker,1682847020.323836
GR003297,ground,corners_cv_started,1682847021.754504
GR003297,ground,corners_cv_succeeded,1682847021.771356
GR003212,ground,missing_sticker,1682847493.298293
GR003227,ground,turn_timeout,1682847730.207638
GR003227,ground,auto_reset_agent,1682847730.762536
GR003273,ground,missing_sticker,1682847802.223481
GR003282,ground,goto_finished_off_sticker,1682848606.327595
GR003282,ground,corners_cv_started,1682848606.341836
GR003282,ground,corners_cv_succeeded,1682848606.377417
GR003282,ground,corners_cv_irrelevant,1682848606.387478
GR003221,ground,goto_finished_off_sticker,1682848680.379748
GR003221,ground,corners_cv_started,1682848680.420962
GR003227,ground,ground_not_responding,1682848737.07422
GR003227,ground,robot_restarted,1682848742.500561
GR003227,ground,auto_reset_agent,1682848742.589579
GR003298,ground,missing_sticker,1682849322.977592
GR003165,ground,turn_timeout,1682849626.28173
GR003165,ground,auto_reset_agent,1682849628.405178
GR003130,ground,missing_sticker,1682850269.792994
GR003270,ground,auto_reset_agent,1682850295.049238
